aseg.csv,aseg_bigregions.csv,brainstem.csv,lh.aparc.a2009s.csv,lh.aparc.csv,lh.aparc.DKTatlas.csv,lh.aparc.pial.a2009s.csv,lh.aparc.pial.csv,lh.aparc.pialDKT.csv,lh.BA_exvivo.csv,lhpcsub.csv,rh.aparc.a2009s.csv,rh.aparc.csv,rh.aparc.DKTatlas.csv,rh.aparc.pial.a2009s.csv,rh.aparc.pial.csv,rh.aparc.pialDKT.csv,rh.BA_exvivo.csv,rhpcsub.csv,wmparc.csv
,,,s_circular_insula_ant_meancurv,,,,,,,,s_circular_insula_ant_meancurv,,,,,,,,
,,,s_circular_insula_ant_numvert,,,,,,,,s_circular_insula_ant_numvert,,,,,,,,
,,,s_circular_insula_ant_surfarea,,,,,,,,s_circular_insula_ant_surfarea,,,,,,,,
,,,s_circular_insula_ant_thickavg,,,,,,,,s_circular_insula_ant_thickavg,,,,,,,,
,,,s_circular_insula_ant_thickstd,,,,,,,,s_circular_insula_ant_thickstd,,,,,,,,
,,,s_circular_insula_inf_curvind,,,,,,,,s_circular_insula_inf_curvind,,,,,,,,
,,,s_circular_insula_inf_foldind,,,,,,,,s_circular_insula_inf_foldind,,,,,,,,
,,,s_circular_insula_inf_gauscurv,,,,,,,,s_circular_insula_inf_gauscurv,,,,,,,,
,,,s_circular_insula_inf_grayvol,,,,,,,,s_circular_insula_inf_grayvol,,,,,,,,
,,,s_circular_insula_inf_meancurv,,,,,,,,s_circular_insula_inf_meancurv,,,,,,,,
,,,s_circular_insula_inf_numvert,,,,,,,,s_circular_insula_inf_numvert,,,,,,,,
,,,s_circular_insula_inf_surfarea,,,,,,,,s_circular_insula_inf_surfarea,,,,,,,,
,,,s_circular_insula_inf_thickavg,,,,,,,,s_circular_insula_inf_thickavg,,,,,,,,
,,,s_circular_insula_inf_thickstd,,,,,,,,s_circular_insula_inf_thickstd,,,,,,,,
,,,s_circular_insula_sup_curvind,,,,,,,,s_circular_insula_sup_curvind,,,,,,,,
,,,s_circular_insula_sup_foldind,,,,,,,,s_circular_insula_sup_foldind,,,,,,,,
,,,s_circular_insula_sup_gauscurv,,,,,,,,s_circular_insula_sup_gauscurv,,,,,,,,
,,,s_circular_insula_sup_grayvol,,,,,,,,s_circular_insula_sup_grayvol,,,,,,,,
,,,s_circular_insula_sup_meancurv,,,,,,,,s_circular_insula_sup_meancurv,,,,,,,,
,,,s_circular_insula_sup_numvert,,,,,,,,s_circular_insula_sup_numvert,,,,,,,,
,,,s_circular_insula_sup_surfarea,,,,,,,,s_circular_insula_sup_surfarea,,,,,,,,
,,,s_circular_insula_sup_thickavg,,,,,,,,s_circular_insula_sup_thickavg,,,,,,,,
,,,s_circular_insula_sup_thickstd,,,,,,,,s_circular_insula_sup_thickstd,,,,,,,,
,,,s_collat_transv_ant_curvind,,,,,,,,s_collat_transv_ant_curvind,,,,,,,,
,,,s_collat_transv_ant_foldind,,,,,,,,s_collat_transv_ant_foldind,,,,,,,,
,,,s_collat_transv_ant_gauscurv,,,,,,,,s_collat_transv_ant_gauscurv,,,,,,,,
,,,s_collat_transv_ant_grayvol,,,,,,,,s_collat_transv_ant_grayvol,,,,,,,,
,,,s_collat_transv_ant_meancurv,,,,,,,,s_collat_transv_ant_meancurv,,,,,,,,
,,,s_collat_transv_ant_numvert,,,,,,,,s_collat_transv_ant_numvert,,,,,,,,
,,,s_collat_transv_ant_surfarea,,,,,,,,s_collat_transv_ant_surfarea,,,,,,,,
,,,s_collat_transv_ant_thickavg,,,,,,,,s_collat_transv_ant_thickavg,,,,,,,,
,,,s_collat_transv_ant_thickstd,,,,,,,,s_collat_transv_ant_thickstd,,,,,,,,
,,,s_collat_transv_post_curvind,,,,,,,,s_collat_transv_post_curvind,,,,,,,,
,,,s_collat_transv_post_foldind,,,,,,,,s_collat_transv_post_foldind,,,,,,,,
,,,s_collat_transv_post_gauscurv,,,,,,,,s_collat_transv_post_gauscurv,,,,,,,,
,,,s_collat_transv_post_grayvol,,,,,,,,s_collat_transv_post_grayvol,,,,,,,,
,,,s_collat_transv_post_meancurv,,,,,,,,s_collat_transv_post_meancurv,,,,,,,,
,,,s_collat_transv_post_numvert,,,,,,,,s_collat_transv_post_numvert,,,,,,,,
,,,s_collat_transv_post_surfarea,,,,,,,,s_collat_transv_post_surfarea,,,,,,,,
,,,s_collat_transv_post_thickavg,,,,,,,,s_collat_transv_post_thickavg,,,,,,,,
,,,s_collat_transv_post_thickstd,,,,,,,,s_collat_transv_post_thickstd,,,,,,,,
,,,s_front_inf_curvind,,,,,,,,s_front_inf_curvind,,,,,,,,
,,,s_front_inf_foldind,,,,,,,,s_front_inf_foldind,,,,,,,,
,,,s_front_inf_gauscurv,,,,,,,,s_front_inf_gauscurv,,,,,,,,
,,,s_front_inf_grayvol,,,,,,,,s_front_inf_grayvol,,,,,,,,
,,,s_front_inf_meancurv,,,,,,,,s_front_inf_meancurv,,,,,,,,
,,,s_front_inf_numvert,,,,,,,,s_front_inf_numvert,,,,,,,,
,,,s_front_inf_surfarea,,,,,,,,s_front_inf_surfarea,,,,,,,,
,,,s_front_inf_thickavg,,,,,,,,s_front_inf_thickavg,,,,,,,,
,,,s_front_inf_thickstd,,,,,,,,s_front_inf_thickstd,,,,,,,,
,,,s_front_middle_curvind,,,,,,,,s_front_middle_curvind,,,,,,,,
,,,s_front_middle_foldind,,,,,,,,s_front_middle_foldind,,,,,,,,
,,,s_front_middle_gauscurv,,,,,,,,s_front_middle_gauscurv,,,,,,,,
,,,s_front_middle_grayvol,,,,,,,,s_front_middle_grayvol,,,,,,,,
,,,s_front_middle_meancurv,,,,,,,,s_front_middle_meancurv,,,,,,,,
,,,s_front_middle_numvert,,,,,,,,s_front_middle_numvert,,,,,,,,
,,,s_front_middle_surfarea,,,,,,,,s_front_middle_surfarea,,,,,,,,
,,,s_front_middle_thickavg,,,,,,,,s_front_middle_thickavg,,,,,,,,
,,,s_front_middle_thickstd,,,,,,,,s_front_middle_thickstd,,,,,,,,
,,,s_front_sup_curvind,,,,,,,,s_front_sup_curvind,,,,,,,,
,,,s_front_sup_foldind,,,,,,,,s_front_sup_foldind,,,,,,,,
,,,s_front_sup_gauscurv,,,,,,,,s_front_sup_gauscurv,,,,,,,,
,,,s_front_sup_grayvol,,,,,,,,s_front_sup_grayvol,,,,,,,,
,,,s_front_sup_meancurv,,,,,,,,s_front_sup_meancurv,,,,,,,,
,,,s_front_sup_numvert,,,,,,,,s_front_sup_numvert,,,,,,,,
,,,s_front_sup_surfarea,,,,,,,,s_front_sup_surfarea,,,,,,,,
,,,s_front_sup_thickavg,,,,,,,,s_front_sup_thickavg,,,,,,,,
,,,s_front_sup_thickstd,,,,,,,,s_front_sup_thickstd,,,,,,,,
,,,s_interm_prim-jensen_curvind,,,,,,,,s_interm_prim-jensen_curvind,,,,,,,,
,,,s_interm_prim-jensen_foldind,,,,,,,,s_interm_prim-jensen_foldind,,,,,,,,
,,,s_interm_prim-jensen_gauscurv,,,,,,,,s_interm_prim-jensen_gauscurv,,,,,,,,
,,,s_interm_prim-jensen_grayvol,,,,,,,,s_interm_prim-jensen_grayvol,,,,,,,,
,,,s_interm_prim-jensen_meancurv,,,,,,,,s_interm_prim-jensen_meancurv,,,,,,,,
,,,s_interm_prim-jensen_numvert,,,,,,,,s_interm_prim-jensen_numvert,,,,,,,,
,,,s_interm_prim-jensen_surfarea,,,,,,,,s_interm_prim-jensen_surfarea,,,,,,,,
,,,s_interm_prim-jensen_thickavg,,,,,,,,s_interm_prim-jensen_thickavg,,,,,,,,
,,,s_interm_prim-jensen_thickstd,,,,,,,,s_interm_prim-jensen_thickstd,,,,,,,,
,,,s_intrapariet&p_trans_curvind,,,,,,,,s_intrapariet&p_trans_curvind,,,,,,,,
,,,s_intrapariet&p_trans_foldind,,,,,,,,s_intrapariet&p_trans_foldind,,,,,,,,
,,,s_intrapariet&p_trans_gauscurv,,,,,,,,s_intrapariet&p_trans_gauscurv,,,,,,,,
,,,s_intrapariet&p_trans_grayvol,,,,,,,,s_intrapariet&p_trans_grayvol,,,,,,,,
,,,s_intrapariet&p_trans_meancurv,,,,,,,,s_intrapariet&p_trans_meancurv,,,,,,,,
,,,s_intrapariet&p_trans_numvert,,,,,,,,s_intrapariet&p_trans_numvert,,,,,,,,
,,,s_intrapariet&p_trans_surfarea,,,,,,,,s_intrapariet&p_trans_surfarea,,,,,,,,
,,,s_intrapariet&p_trans_thickavg,,,,,,,,s_intrapariet&p_trans_thickavg,,,,,,,,
,,,s_intrapariet&p_trans_thickstd,,,,,,,,s_intrapariet&p_trans_thickstd,,,,,,,,
,,,s_oc-temp_lat_curvind,,,,,,,,s_oc-temp_lat_curvind,,,,,,,,
,,,s_oc-temp_lat_foldind,,,,,,,,s_oc-temp_lat_foldind,,,,,,,,
,,,s_oc-temp_lat_gauscurv,,,,,,,,s_oc-temp_lat_gauscurv,,,,,,,,
,,,s_oc-temp_lat_grayvol,,,,,,,,s_oc-temp_lat_grayvol,,,,,,,,
,,,s_oc-temp_lat_meancurv,,,,,,,,s_oc-temp_lat_meancurv,,,,,,,,
,,,s_oc-temp_lat_numvert,,,,,,,,s_oc-temp_lat_numvert,,,,,,,,
,,,s_oc-temp_lat_surfarea,,,,,,,,s_oc-temp_lat_surfarea,,,,,,,,
,,,s_oc-temp_lat_thickavg,,,,,,,,s_oc-temp_lat_thickavg,,,,,,,,
,,,s_oc-temp_lat_thickstd,,,,,,,,s_oc-temp_lat_thickstd,,,,,,,,
,,,s_oc-temp_med&lingual_curvind,,,,,,,,s_oc-temp_med&lingual_curvind,,,,,,,,
,,,s_oc-temp_med&lingual_foldind,,,,,,,,s_oc-temp_med&lingual_foldind,,,,,,,,
,,,s_oc-temp_med&lingual_gauscurv,,,,,,,,s_oc-temp_med&lingual_gauscurv,,,,,,,,
,,,s_oc-temp_med&lingual_grayvol,,,,,,,,s_oc-temp_med&lingual_grayvol,,,,,,,,
,,,s_oc-temp_med&lingual_meancurv,,,,,,,,s_oc-temp_med&lingual_meancurv,,,,,,,,
,,,s_oc-temp_med&lingual_numvert,,,,,,,,s_oc-temp_med&lingual_numvert,,,,,,,,
,,,s_oc-temp_med&lingual_surfarea,,,,,,,,s_oc-temp_med&lingual_surfarea,,,,,,,,
,,,s_oc-temp_med&lingual_thickavg,,,,,,,,s_oc-temp_med&lingual_thickavg,,,,,,,,
,,,s_oc-temp_med&lingual_thickstd,,,,,,,,s_oc-temp_med&lingual_thickstd,,,,,,,,
,,,s_oc_middle&lunatus_curvind,,,,,,,,s_oc_middle&lunatus_curvind,,,,,,,,
,,,s_oc_middle&lunatus_foldind,,,,,,,,s_oc_middle&lunatus_foldind,,,,,,,,
,,,s_oc_middle&lunatus_gauscurv,,,,,,,,s_oc_middle&lunatus_gauscurv,,,,,,,,
,,,s_oc_middle&lunatus_grayvol,,,,,,,,s_oc_middle&lunatus_grayvol,,,,,,,,
,,,s_oc_middle&lunatus_meancurv,,,,,,,,s_oc_middle&lunatus_meancurv,,,,,,,,
,,,s_oc_middle&lunatus_numvert,,,,,,,,s_oc_middle&lunatus_numvert,,,,,,,,
,,,s_oc_middle&lunatus_surfarea,,,,,,,,s_oc_middle&lunatus_surfarea,,,,,,,,
,,,s_oc_middle&lunatus_thickavg,,,,,,,,s_oc_middle&lunatus_thickavg,,,,,,,,
,,,s_oc_middle&lunatus_thickstd,,,,,,,,s_oc_middle&lunatus_thickstd,,,,,,,,
,,,s_oc_sup&transversal_curvind,,,,,,,,s_oc_sup&transversal_curvind,,,,,,,,
,,,s_oc_sup&transversal_foldind,,,,,,,,s_oc_sup&transversal_foldind,,,,,,,,
,,,s_oc_sup&transversal_gauscurv,,,,,,,,s_oc_sup&transversal_gauscurv,,,,,,,,
,,,s_oc_sup&transversal_grayvol,,,,,,,,s_oc_sup&transversal_grayvol,,,,,,,,
,,,s_oc_sup&transversal_meancurv,,,,,,,,s_oc_sup&transversal_meancurv,,,,,,,,
,,,s_oc_sup&transversal_numvert,,,,,,,,s_oc_sup&transversal_numvert,,,,,,,,
,,,s_oc_sup&transversal_surfarea,,,,,,,,s_oc_sup&transversal_surfarea,,,,,,,,
,,,s_oc_sup&transversal_thickavg,,,,,,,,s_oc_sup&transversal_thickavg,,,,,,,,
,,,s_oc_sup&transversal_thickstd,,,,,,,,s_oc_sup&transversal_thickstd,,,,,,,,
,,,s_occipital_ant_curvind,,,,,,,,s_occipital_ant_curvind,,,,,,,,
,,,s_occipital_ant_foldind,,,,,,,,s_occipital_ant_foldind,,,,,,,,
,,,s_occipital_ant_gauscurv,,,,,,,,s_occipital_ant_gauscurv,,,,,,,,
,,,s_occipital_ant_grayvol,,,,,,,,s_occipital_ant_grayvol,,,,,,,,
,,,s_occipital_ant_meancurv,,,,,,,,s_occipital_ant_meancurv,,,,,,,,
,,,s_occipital_ant_numvert,,,,,,,,s_occipital_ant_numvert,,,,,,,,
,,,s_occipital_ant_surfarea,,,,,,,,s_occipital_ant_surfarea,,,,,,,,
,,,s_occipital_ant_thickavg,,,,,,,,s_occipital_ant_thickavg,,,,,,,,
,,,s_occipital_ant_thickstd,,,,,,,,s_occipital_ant_thickstd,,,,,,,,
,,,s_orbital-h_shaped_curvind,,,,,,,,s_orbital-h_shaped_curvind,,,,,,,,
,,,s_orbital-h_shaped_foldind,,,,,,,,s_orbital-h_shaped_foldind,,,,,,,,
,,,s_orbital-h_shaped_gauscurv,,,,,,,,s_orbital-h_shaped_gauscurv,,,,,,,,
,,,s_orbital-h_shaped_grayvol,,,,,,,,s_orbital-h_shaped_grayvol,,,,,,,,
,,,s_orbital-h_shaped_meancurv,,,,,,,,s_orbital-h_shaped_meancurv,,,,,,,,
,,,s_orbital-h_shaped_numvert,,,,,,,,s_orbital-h_shaped_numvert,,,,,,,,
,,,s_orbital-h_shaped_surfarea,,,,,,,,s_orbital-h_shaped_surfarea,,,,,,,,
,,,s_orbital-h_shaped_thickavg,,,,,,,,s_orbital-h_shaped_thickavg,,,,,,,,
,,,s_orbital-h_shaped_thickstd,,,,,,,,s_orbital-h_shaped_thickstd,,,,,,,,
,,,s_orbital_lateral_curvind,,,,,,,,s_orbital_lateral_curvind,,,,,,,,
,,,s_orbital_lateral_foldind,,,,,,,,s_orbital_lateral_foldind,,,,,,,,
,,,s_orbital_lateral_gauscurv,,,,,,,,s_orbital_lateral_gauscurv,,,,,,,,
,,,s_orbital_lateral_grayvol,,,,,,,,s_orbital_lateral_grayvol,,,,,,,,
,,,s_orbital_lateral_meancurv,,,,,,,,s_orbital_lateral_meancurv,,,,,,,,
,,,s_orbital_lateral_numvert,,,,,,,,s_orbital_lateral_numvert,,,,,,,,
,,,s_orbital_lateral_surfarea,,,,,,,,s_orbital_lateral_surfarea,,,,,,,,
,,,s_orbital_lateral_thickavg,,,,,,,,s_orbital_lateral_thickavg,,,,,,,,
,,,s_orbital_lateral_thickstd,,,,,,,,s_orbital_lateral_thickstd,,,,,,,,
,,,s_orbital_med-olfact_curvind,,,,,,,,s_orbital_med-olfact_curvind,,,,,,,,
,,,s_orbital_med-olfact_foldind,,,,,,,,s_orbital_med-olfact_foldind,,,,,,,,
,,,s_orbital_med-olfact_gauscurv,,,,,,,,s_orbital_med-olfact_gauscurv,,,,,,,,
,,,s_orbital_med-olfact_grayvol,,,,,,,,s_orbital_med-olfact_grayvol,,,,,,,,
,,,s_orbital_med-olfact_meancurv,,,,,,,,s_orbital_med-olfact_meancurv,,,,,,,,
,,,s_orbital_med-olfact_numvert,,,,,,,,s_orbital_med-olfact_numvert,,,,,,,,
,,,s_orbital_med-olfact_surfarea,,,,,,,,s_orbital_med-olfact_surfarea,,,,,,,,
,,,s_orbital_med-olfact_thickavg,,,,,,,,s_orbital_med-olfact_thickavg,,,,,,,,
,,,s_orbital_med-olfact_thickstd,,,,,,,,s_orbital_med-olfact_thickstd,,,,,,,,
,,,s_parieto_occipital_curvind,,,,,,,,s_parieto_occipital_curvind,,,,,,,,
,,,s_parieto_occipital_foldind,,,,,,,,s_parieto_occipital_foldind,,,,,,,,
,,,s_parieto_occipital_gauscurv,,,,,,,,s_parieto_occipital_gauscurv,,,,,,,,
,,,s_parieto_occipital_grayvol,,,,,,,,s_parieto_occipital_grayvol,,,,,,,,
,,,s_parieto_occipital_meancurv,,,,,,,,s_parieto_occipital_meancurv,,,,,,,,
,,,s_parieto_occipital_numvert,,,,,,,,s_parieto_occipital_numvert,,,,,,,,
,,,s_parieto_occipital_surfarea,,,,,,,,s_parieto_occipital_surfarea,,,,,,,,
,,,s_parieto_occipital_thickavg,,,,,,,,s_parieto_occipital_thickavg,,,,,,,,
,,,s_parieto_occipital_thickstd,,,,,,,,s_parieto_occipital_thickstd,,,,,,,,
,,,s_pericallosal_curvind,,,,,,,,s_pericallosal_curvind,,,,,,,,
,,,s_pericallosal_foldind,,,,,,,,s_pericallosal_foldind,,,,,,,,
,,,s_pericallosal_gauscurv,,,,,,,,s_pericallosal_gauscurv,,,,,,,,
,,,s_pericallosal_grayvol,,,,,,,,s_pericallosal_grayvol,,,,,,,,
,,,s_pericallosal_meancurv,,,,,,,,s_pericallosal_meancurv,,,,,,,,
,,,s_pericallosal_numvert,,,,,,,,s_pericallosal_numvert,,,,,,,,
,,,s_pericallosal_surfarea,,,,,,,,s_pericallosal_surfarea,,,,,,,,
,,,s_pericallosal_thickavg,,,,,,,,s_pericallosal_thickavg,,,,,,,,
,,,s_pericallosal_thickstd,,,,,,,,s_pericallosal_thickstd,,,,,,,,
,,,s_postcentral_curvind,,,,,,,,s_postcentral_curvind,,,,,,,,
,,,s_postcentral_foldind,,,,,,,,s_postcentral_foldind,,,,,,,,
,,,s_postcentral_gauscurv,,,,,,,,s_postcentral_gauscurv,,,,,,,,
,,,s_postcentral_grayvol,,,,,,,,s_postcentral_grayvol,,,,,,,,
,,,s_postcentral_meancurv,,,,,,,,s_postcentral_meancurv,,,,,,,,
,,,s_postcentral_numvert,,,,,,,,s_postcentral_numvert,,,,,,,,
,,,s_postcentral_surfarea,,,,,,,,s_postcentral_surfarea,,,,,,,,
,,,s_postcentral_thickavg,,,,,,,,s_postcentral_thickavg,,,,,,,,
,,,s_postcentral_thickstd,,,,,,,,s_postcentral_thickstd,,,,,,,,
,,,s_precentral-inf-part_curvind,,,,,,,,s_precentral-inf-part_curvind,,,,,,,,
,,,s_precentral-inf-part_foldind,,,,,,,,s_precentral-inf-part_foldind,,,,,,,,
,,,s_precentral-inf-part_gauscurv,,,,,,,,s_precentral-inf-part_gauscurv,,,,,,,,
,,,s_precentral-inf-part_grayvol,,,,,,,,s_precentral-inf-part_grayvol,,,,,,,,
,,,s_precentral-inf-part_meancurv,,,,,,,,s_precentral-inf-part_meancurv,,,,,,,,
,,,s_precentral-inf-part_numvert,,,,,,,,s_precentral-inf-part_numvert,,,,,,,,
,,,s_precentral-inf-part_surfarea,,,,,,,,s_precentral-inf-part_surfarea,,,,,,,,
,,,s_precentral-inf-part_thickavg,,,,,,,,s_precentral-inf-part_thickavg,,,,,,,,
,,,s_precentral-inf-part_thickstd,,,,,,,,s_precentral-inf-part_thickstd,,,,,,,,
,,,s_precentral-sup-part_curvind,,,,,,,,s_precentral-sup-part_curvind,,,,,,,,
,,,s_precentral-sup-part_foldind,,,,,,,,s_precentral-sup-part_foldind,,,,,,,,
,,,s_precentral-sup-part_gauscurv,,,,,,,,s_precentral-sup-part_gauscurv,,,,,,,,
,,,s_precentral-sup-part_grayvol,,,,,,,,s_precentral-sup-part_grayvol,,,,,,,,
,,,s_precentral-sup-part_meancurv,,,,,,,,s_precentral-sup-part_meancurv,,,,,,,,
,,,s_precentral-sup-part_numvert,,,,,,,,s_precentral-sup-part_numvert,,,,,,,,
,,,s_precentral-sup-part_surfarea,,,,,,,,s_precentral-sup-part_surfarea,,,,,,,,
,,,s_precentral-sup-part_thickavg,,,,,,,,s_precentral-sup-part_thickavg,,,,,,,,
,,,s_precentral-sup-part_thickstd,,,,,,,,s_precentral-sup-part_thickstd,,,,,,,,
,,,s_suborbital_curvind,,,,,,,,s_suborbital_curvind,,,,,,,,
,,,s_suborbital_foldind,,,,,,,,s_suborbital_foldind,,,,,,,,
,,,s_suborbital_gauscurv,,,,,,,,s_suborbital_gauscurv,,,,,,,,
,,,s_suborbital_grayvol,,,,,,,,s_suborbital_grayvol,,,,,,,,
,,,s_suborbital_meancurv,,,,,,,,s_suborbital_meancurv,,,,,,,,
,,,s_suborbital_numvert,,,,,,,,s_suborbital_numvert,,,,,,,,
,,,s_suborbital_surfarea,,,,,,,,s_suborbital_surfarea,,,,,,,,
,,,s_suborbital_thickavg,,,,,,,,s_suborbital_thickavg,,,,,,,,
,,,s_suborbital_thickstd,,,,,,,,s_suborbital_thickstd,,,,,,,,
,,,s_subparietal_curvind,,,,,,,,s_subparietal_curvind,,,,,,,,
,,,s_subparietal_foldind,,,,,,,,s_subparietal_foldind,,,,,,,,
,,,s_subparietal_gauscurv,,,,,,,,s_subparietal_gauscurv,,,,,,,,
,,,s_subparietal_grayvol,,,,,,,,s_subparietal_grayvol,,,,,,,,
,,,s_subparietal_meancurv,,,,,,,,s_subparietal_meancurv,,,,,,,,
,,,s_subparietal_numvert,,,,,,,,s_subparietal_numvert,,,,,,,,
,,,s_subparietal_surfarea,,,,,,,,s_subparietal_surfarea,,,,,,,,
,,,s_subparietal_thickavg,,,,,,,,s_subparietal_thickavg,,,,,,,,
,,,s_subparietal_thickstd,,,,,,,,s_subparietal_thickstd,,,,,,,,
,,,s_temporal_inf_curvind,,,,,,,,s_temporal_inf_curvind,,,,,,,,
,,,s_temporal_inf_foldind,,,,,,,,s_temporal_inf_foldind,,,,,,,,
,,,s_temporal_inf_gauscurv,,,,,,,,s_temporal_inf_gauscurv,,,,,,,,
,,,s_temporal_inf_grayvol,,,,,,,,s_temporal_inf_grayvol,,,,,,,,
,,,s_temporal_inf_meancurv,,,,,,,,s_temporal_inf_meancurv,,,,,,,,
,,,s_temporal_inf_numvert,,,,,,,,s_temporal_inf_numvert,,,,,,,,
,,,s_temporal_inf_surfarea,,,,,,,,s_temporal_inf_surfarea,,,,,,,,
,,,s_temporal_inf_thickavg,,,,,,,,s_temporal_inf_thickavg,,,,,,,,
,,,s_temporal_inf_thickstd,,,,,,,,s_temporal_inf_thickstd,,,,,,,,
,,,s_temporal_sup_curvind,,,,,,,,s_temporal_sup_curvind,,,,,,,,
,,,s_temporal_sup_foldind,,,,,,,,s_temporal_sup_foldind,,,,,,,,
,,,s_temporal_sup_gauscurv,,,,,,,,s_temporal_sup_gauscurv,,,,,,,,
,,,s_temporal_sup_grayvol,,,,,,,,s_temporal_sup_grayvol,,,,,,,,
,,,s_temporal_sup_meancurv,,,,,,,,s_temporal_sup_meancurv,,,,,,,,
,,,s_temporal_sup_numvert,,,,,,,,s_temporal_sup_numvert,,,,,,,,
,,,s_temporal_sup_surfarea,,,,,,,,s_temporal_sup_surfarea,,,,,,,,
,,,s_temporal_sup_thickavg,,,,,,,,s_temporal_sup_thickavg,,,,,,,,
,,,s_temporal_sup_thickstd,,,,,,,,s_temporal_sup_thickstd,,,,,,,,
,,,s_temporal_transverse_curvind,,,,,,,,s_temporal_transverse_curvind,,,,,,,,
,,,s_temporal_transverse_foldind,,,,,,,,s_temporal_transverse_foldind,,,,,,,,
,,,s_temporal_transverse_gauscurv,,,,,,,,s_temporal_transverse_gauscurv,,,,,,,,
,,,s_temporal_transverse_grayvol,,,,,,,,s_temporal_transverse_grayvol,,,,,,,,
,,,s_temporal_transverse_meancurv,,,,,,,,s_temporal_transverse_meancurv,,,,,,,,
,,,s_temporal_transverse_numvert,,,,,,,,s_temporal_transverse_numvert,,,,,,,,
,,,s_temporal_transverse_surfarea,,,,,,,,s_temporal_transverse_surfarea,,,,,,,,
,,,s_temporal_transverse_thickavg,,,,,,,,s_temporal_transverse_thickavg,,,,,,,,
,,,s_temporal_transverse_thickstd,,,,,,,,s_temporal_transverse_thickstd,,,,,,,,
